reflection	考虑
argumentative	雄辩的
persuasion	劝服
range	从...到...
metaphysics	形而上学
exhilaration	狂喜
inexhaustible	不可耗尽的
regularity	惯例
penetrate	穿透
infallible	不犯错的
fluffy	轻飘飘的,无说服力的
dogma	教条
altitude	态度
dewdrop	露珠
philanthropic	慈善的
taboo	纹身
twig	嫩枝
alternative	可换的
jumbly	杂乱的
symmetry	对称
hypothesis	假设
conform	一致
substantiate	证实
deflate	证伪(假设)
ecstasy	狂喜
speck	灰尘,污点
keen	敏锐的
neuron	神经
dendrite	突触
knowable	可知道的
crystal	晶体的
lattice	(晶)格
shrink	精神病医生(俚语)
crystalline	水晶的
strain	张力,扭伤
exceed	超越
predictability	可预测性
grave	坟墓
peril	危险
pantheist	泛神论的
grain	微粒
fathom	英寻,看穿
organism	有机体
perception	洞察
prejudice	偏见
openness	开明
accordingly	一致地
occasional	偶然的,时不时的
lens	透镜
sinew	肌腱
divorce	离婚
circuit	电路
predetermine	预先决定
muddle	乱堆
convey	传输
essence	本质
simplicity	简洁性
anecdote	轶事
downpour	倾盆大雨
knack	诀窍
plead	托词,借口
awe	敬畏
inflection	弯曲,拐点
awry	歪曲的,错误的
staggering	蹒跚的,犹豫的
endearing	讨人喜欢的
vestige	遗迹
prodigy	天才
dullard	迟钝的
abreast	齐头并进地
memorable	值得纪念的
offshoot	分流,支流
collaborate	勾结
recalcitrant	反抗的,顽强的
worry	撕咬
insuperable	不可逾越的
faraway	遥远的
furrow	车辙,犁
placid	平静的
communion	恳谈,圣餐
haggard	憔悴的
surcease	停止
groping	暗中摸索的,探索的
reverence	尊敬
credo	信条,教义
malicious	恶毒的
amateur	新手
duet	二重奏
agitate	激怒
wiggle	摆动,扭动
pier	码头,桥墩
plausible	看起来像真的
revolutionize	改革
tamper	篡改,干预
tribute	礼品,吊唁
solemnity	庄严
budge	动摇
inkling	暗示
turmoil	混乱,骚动
serenity	静谧
confiscate	充公,没收
heed	注意,留心
ineffable	不可言喻的
elusive	难以理解的
whimsical	异想天开的
akin	同类,近似
belated	迟来的
endeavor	努力
wreak	报仇
reason	理性
naive	拿衣服
solace	平静
haven	避风港
stubborn	固执的
consummate	至上的,完满的
sacredness	神圣
treacherous	奸诈的,背叛的
supersition	迷信
interview	采访
contempt	轻蔑
plague	瘟疫,灾祸
disposal	支配(at_one's_~)
call	召唤
theist	有神论者
preach	布道
version	版本
accord	一致,给予
humble	谦逊的
scorn	轻蔑
rational	理性的
bribe	贿赂
eternal	永恒的
bliss	祝福
strive	努力,奋斗
pipeline	管道
supernatural	超自然的
fallible	会犯错的
hindrance	阻碍
pseudoscience	伪科学
elitist	精英主义者
sophiscated	老于世故的,圆滑的
tis_no_defense_of_sth.	不能成为...的借口
humanly	像人地
pernicious	有害的
inscrutable	不可理解的
ameliorate	改善,减轻
beneficent	慈善的,善行的
see_through	看穿
grip	紧握,抓住
hold_off	保持距离
efficacy	效力
irresolution	犹豫不决
dogged	顽强的,顽固的
adherence	依附,忠诚
menial	卑微的,适合仆人做的
trustee	受托人
slash	猛砍
legislature	立法机关
appropriation	拨款,挪用
thrive	繁荣
gloomy	阴郁的
curate	助理牧师
ethical	伦理的
totalitarianism	集权主义
flip	投掷,用手指弹
passion	热情
interplantary	星际间的
precede	领先
obscure	模糊的
memo	备忘录
intergalactic	星系间的
instantaneous	瞬间的,即时的
catch_on	变得流行
arguably	可论证的
eerie	奇怪的
cadet	实习生,候补军官
spy_on	监视
vindicate	证实
settle_for...	以...将就一下
hew_to	遵守,坚持
plausible	看起来像是对的
genre	体裁
aficionado	科幻迷
fabricate	捏造
viable	切实可行的
cartography	制图学
amplify	增强,放大
hermetic	不透气的
strategically	战略上地
prescient	先知先觉的
niche	壁龛
orthodox	正统的
postmodern	后现代的
in_a_adj._vein	处在...的情绪中
indiscriminately	不加分别地
process	处理,加工
thumbtack	图钉
verbose	啰嗦的
prowess	英勇
artifict	手工制品
intimidating	恐吓,威胁
myriad	无限的
namesake	同名物
nameplate	姓名牌
medallion	奖章,勋章
pseudonymity	假名
irate	惹恼
thingophile	物品收集症患者
trivia	琐事
quarry	采石场,挖掘
corundum	金刚砂
abrasive	摩擦的,粗糙的
fledging	羽翼渐丰的
stave_off	延缓,避开
troubleshooting	解决问题的
fall_apart	分崩离析
crinkled	起皱的
carload	车载
lore	学问
batch	一批
stingy	小气的，吝啬的
old-timer	旧时代的人
apocryphal	假的
credence	凭证
tartan	格子呢
cellophone	玻璃纸
elasticity	弹性
diagonally	对焦地
abbreviation	首字母缩略词
hymnal	赞美诗集
come_upon	突然产生，遭遇
	
surmise	猜测
bootleg	非法制造、贩卖
permanent	永远的
brainchild	空想的产物
ubiquitous	无所不在的
conservatory	有保存能力的
staple	用订书机钉住
notorious	臭名昭著的
receptivity	接受能力
choir	唱诗班
at_a_loss_for_words	话都说不出来
gain_access_to	得到进入许可
refine	精炼
eliminate	消除
contend	主张
trial	试炼
cling_to	依靠
extraodinariness	非凡，不寻常
awe_sb_into_silence	将某人惊呆
functionality	功能性
market	出售
hold_lessons_for	成为经验教训
in_the_context_of	处在特定环境中
corporate	集体的，团体的
memorialize	记住
give_insight_into	提供一份剖析
parallel	并列
downright	完全地，彻底地
people	以人种占据
short_of_A_in_some_attribute	和A相比在某属性上欠缺
in_time	及时，最终
backing	衬料
adhesive	附着的，黏着的
resin	树脂
label	贴标签
be_easier_said_than_done	说来容易做来难
come_up_to_expectations	符合期望
neutral	中性的
expose	揭露，揭发
of_all_people	在所有人之中
reprove	斥责
outrageous	愤怒的，乖离的
mechanics	机械
matter-of-fact	无情的，客观的
be_doomed_to	注定要
speculative	思考的，投机的
conceive	构想，怀孕
virile	阳刚的
out-stretched	伸展的
likeness	相似度
stepping_stone	垫脚石
feel_for	探索、有感情
far-fetched	牵强附会的
coherent	一致的，连贯的
browbeat	恫吓，威胁
from_the_air	凭空，从空中
bold	鲁莽的，无畏的
give_heart_to	激励
pellet	弹珠，小球
without_a_blush	脸都不红一下
meson	介子
trenchant	锐利的，明晰的
leave_out_nothing	什么都没剩下
set_about	开始做（某事）
caricature	讽刺漫画
widow	使。。。成为寡妇
crux	结症，难点
seize	抓住，占领
laconically	简短地，简洁地
apply_to	应用于，涂抹
outlook	大致观点
scrutiny	仔细检查
lament	惋惜
stress	强调
flair	天资
excellence	优秀，卓越
lamely	不令人信服地，弱地
seductive	有异性吸引力的
pedagogical	教育方法的
disciple	门徒
split_off	劈裂，分裂
facility	设备，容易，灵巧
principle	原则
ideal	理想的
adrift	漂浮的，无根无据的
alienate	疏远
arbitrary	武断的
prestige	威严
on_the_defensive	处于守势
fair	美丽
masculine	男性的，强壮的
equivalent	对等的，对等物
overtones	弦外之音
reserve	保护区
retain	保留
vestige	遗迹
pagan	异教徒
detriment	伤害
competent	有能力的
in_the_throes_of	处在......的激烈思想斗争中
perceive	感知
narcissism	自恋
dependence	独立
immaturity	不成熟
contrast	对比
stereotype	刻板印象，（使）成见
flattering	奉承的
inferior	劣于
administer	执行，管理
evaluate	估价
complexion	肤色，面色
fretful	烦躁不安的
despairing	感到绝望的
desperate	渴望的，孤注一掷的
pass_muster	合格，通过
wanting	缺少
perfection	完美
measurement	度量
dissect	剖析，仔细分析
trivial	琐碎的
unmanly	不近人情地
blemish	瑕疵
cluster	簇，丛
depreciation	贬值
priviliege	特权
deservedly	应得地
in_relation_to	相关与
negate	否定，取消
renounce	放弃
censure	责难
preen	（鸟）打扮，洋洋自得
clamber	攀登
confess	承认
in_so_far_as	在...的范围内
authoritative	权威的
damned	该死的
interminable	没完没了的
start_off	以...开始
disparage	蔑视，诽谤
adorable	可爱的，值得崇拜的
crude	粗糙的，未加工的
prop_up	资助
mythology	神话
save	除了
squarish	方形的
cupola	圆顶
spire	尖顶
select	精选的
encroach	蚕食
obliterate	抹去（痕迹）
august	威严的
coquettish	妖艳的，卖弄风情的
eyesore	眼中钉
bemuse	使困惑
father	成为。。。的父亲
edict	法令
apron	围裙
remit	免除，撤回
perpetuity	永恒
to_the_effact_that	大意是
alderman	市议员
sheriff	执政官
at_one's_convenience	在。。。方便的时候
calligraphy	笔迹
deputation	代表团
dank	潮湿
parlor	会客室
sluggishly	迟缓的
tarnished	无光的
easel	画架
ebony	乌木的
spare	瘦的
pallid	苍白的
hue	色彩
dough	生面团
errand	差事
vanquish	征服
horse_and_foot	连人带马地
temerity	鲁莽
teeming	热闹的
diffident	不自信的
deprecation	反对
slink	溜
sling	吊
sprinkle	撒，洒
torso	躯干
tableau	人像画
spraddle	伸展手足
silhouette	轮廓
pauper	穷人
condolence	吊唁
resort_to	诉诸于
let	订合同
serene	平静的
rigger	装配工
cuss	说。。。的坏话
buggy	马车
livery	侍从
fall_out_with	和。。。闹翻脸
jalousy	百叶窗
touch_of_earthiness	地气
imperviousness	超然
arsenic	砒霜
haughty	傲慢的
episcopal	英国国教的
divulge	泄露
cabal	阴谋（团伙）
circumvent	规避
thwart	挫伤
virulent	有毒的
contemporary	同时代人
backbone	骨气
for_good	永远
stoop	弯腰
perverse	倔强的，乖张反复的
doddering	蹒跚的
wait_on	侍奉
hush	安静
sibilant	嘶声
muse	凝思
bier	棺材
macabre	因和死亡有关而可怕
pervading	无所不在的
meadow	草原
acrid	尖酸的
pall	幕
monogram	首字母艺术字
outlast	比。。。持续时间长
grimace	鬼脸
cuckold	与（某人）的妻子通奸
indentation	凹陷痕迹
address	演说
distinguished	卓越的,著名的
expressive	极富表现力的
derive...from...	产生于,获得
introspective	内省的
insight	洞悉,洞察力
stylish	时髦潇洒的
be_concerned_with	有关
with_the_exception_of	除了
peculiar	特别的,特殊的
regulate	管理,调节
come_to_(do)	开始做...
material	材料
reputable	极富盛名的
occur_to_sb.	某人想起
know_of	听说过
phantom	幻影
call_A_after_B	以B称呼A
come_between	扰乱
torment	折磨,纠缠
come_of	出身于,起源于
charm	魅力,吸引
excel	超过,擅长
0.00148588	
#NAME?	0
constitute	建立,构成
sympathize	同情,怜悯
blush	脸红
rustling	窸窣声
flatter	奉承
wile	欺骗
make_as_if_to	好像要去做...
take_credit_to_oneself	表扬一下自己
turn_on/upon	背叛
by_the_throat	扼住咽喉
have_up	告上法庭
pluck	拉曳
conciliate	使平静
bluntly	坦率地
radiance	辐射
halo	光环
fictitious	虚构的
of_great_assistance	起到很大的帮助
creep	匍匐
dispatch	派遣,急件
befall	降临到...身上
now_that	现在的情况是...
rid_sb/sth_of_sth	剥夺...
falsehood	错误
out_of	因为
in_(the)process_of	在...的进程中
proceeds	收入,收益
give_away	泄密
induce	诱导
perpetual	永恒的
lethargy	睡眠状态
utmost	极限,最大可能
disquiet	使不安静
nose_about	搜查
dart	冲刺/飞镖
dash	冲刺
be_that_as_it_may	无论如何
trance	冥想
on_the_verge_of	濒临于...
unchecked	未经核对的
every_hook_and_cranny	所有犄角旮旯
submerge	淹没
slumber	沉睡
acute	尖锐的,急性的
distress	不幸,灾厄
impede	阻碍
conventionality	约定俗成
condemn	指责
outwardly	表面上地
inwardly	内在地
prejudice	偏见
slay	中伤
precarious	危险的,不确定的
demographic	人口统计的
significantly	显著地
heterogeneous	异质的
frail	脆弱的
nettlesome	不安分的,嘈杂的
dramatic	戏剧性的
decline	下降
cohort	一群人(同类)
projection	投影
mortality	必死性
implication	暗示,含义
chronic	慢性的
unprecedented	空前的
segregate	分隔
disproportionately	不成比例地
intractable	棘手的,倔强的
longevity	长寿
spouse	配偶
compelling	引人注目的
vitality	生命力
prompt	促使
bond	联系
analogy	类比
abuse	滥用，误用
abusive	虐待的，滥用的，骂人的
companion	伴侣,etc.
meadow	草场
deck	建筑的观景台
crop	裁短，动物咬去植物的上部
amble	漫步
stretch	伸展
fence_in	围住，困住
board	给。。。提供膳宿
stocky	（人）敦实的
flank	肋
in_the_habit_of	有做。。。的习惯
succulent	多汁的
dry_out	干涸
stumble	脚底不稳地行走
munch	大声咀嚼
whinny	（马）嘶鸣
snort	打响鼻
stamp	踩踏
crunch	嘎吱嘎吱地嚼
finality	最终性
enormity	巨大
deliberately	故意地
spook	鬼怪般的出没，恐吓
come_to	恢复意识
forthcoming	即将来临的
sole	单独的
respective	分别的
all-accepting	热心包容的
mammy	乳母
benign	良性的
euphemism	委婉语
compliment	恭维
blissfully	幸福地，充满喜悦地
oppressed	被抑制的
inhabit	居住
gallop	（马）飞奔
self-possession	自制的，不露情绪的
inalienable	不可离间的
dread	感到极度恐惧
impregnate	使怀孕
accomplish	陪伴
crazed	被逼疯的
butt	用头碰撞
piercing	穿透的
